Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fill in your catalog information below. Avoid some of the most common errors by making sure: 1) each row contains an item name; 2) an item and its variations have the same category and description; 3) GTINs are 8,12, 13, or 14 characters and contain numbers only; and 4) every item referencing an option set has both an option set name and an option value.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Created by Square,Example item,Example item name for customers to see,Small,Ounce 1.000,A12345,100% organic soft cotton t-shirt,"Separate multiple categories with a comma. Indicate subcategories by including their category hierarchy with the greater-than symbol. For example: New arrivals, Women’s > Accessories > Hats & Beanies",Sales of this item will be attributed to the Reporting Category in the category sales report.,Search engine display name,Search engine description,Identifier within a URL. Use hyphens instead of spaces.,653412483659,"Visible, Hidden, Unavailable","Physical, Prepared food and beverage, Digital, Donation, Event, Membership, Other",,Social media link title,Social media link description,,,,,24.99,20.99,Y or N,Y or N,Y or N,Y or N,Y or N,Sizes,Small,12.99,KT's Clothes,ABC123,Y or N,10,15,Y or N,5,$10.99,Y or N,10,15,Y or N,5,$10.99
Token,Item Name,Customer-facing Name,Variation Name,Unit and Precision,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Default Unit Cost,Default Vendor Name,Default Vendor Code,Enabled AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZ Cleaning Supplies,Stock Alert Enabled AZ Cleaning Supplies,Stock Alert Count AZ Cleaning Supplies,Price AZ Cleaning Supplies,Enabled AZCS,Current Quantity AZCS,New Quantity AZCS,Stock Alert Enabled AZCS,Stock Alert Count AZCS,Price AZCS
,#1 Section for 50HMw/ clamp,#1 Section for 50HMw/clamp,Regular,,T-50-HM-1-WC,This is the correct replacement #1 section for your Tucker® 50HM pole. Made of High Modulus material and comes complete with #1 clamp.,Tucker > Water Fed Pole Parts,Tucker,#1 Section for 50HMw/clamp | Water Fed Pole Parts | AZ Cleaning Supplies,This is the correct replacement #1 section for your Tucker® 50HM pole. Made of High Modulus material and comes complete with #1 clamp. Available at AZ...,1-section-for-50hmw-clamp,,Hidden,Physical,2,#1 Section for 50HMw/clamp | Water Fed Pole Parts | AZ Cleaning Supplies,This is the correct replacement #1 section for your Tucker® 50HM pole. Made of High Modulus material and comes complete with #1 clamp. Available at AZ...,N,N,N,N,208.08,,N,Y,N,Y,N,,,145.66,Tucker,T-50-HM-1-WC,N,,,N,,,Y,,,N,,208.08
,#1 Section for BRAVOw/ clamp,#1 Section for BRAVOw/clamp,Regular,,T-22-HY-1-WC,This is the correct replacement #1 section for your Tucker® Bravo pole. Made of hybrid material and comes complete with #1 clamp.,Tucker > Water Fed Pole Parts,Tucker,#1 Section for BRAVOw/clamp | Water Fed Pole Parts | AZ Cleaning Supplies,This is the correct replacement #1 section for your Tucker® Bravo pole. Made of hybrid material and comes complete with #1 clamp. Available at AZ Cleaning...,1-section-for-bravow-clamp,,Hidden,Physical,2,#1 Section for BRAVOw/clamp | Water Fed Pole Parts | AZ Cleaning Supplies,This is the correct replacement #1 section for your Tucker® Bravo pole. Made of hybrid material and comes complete with #1 clamp. Available at AZ Cleaning...,N,N,N,N,81.37,,N,Y,N,Y,N,,,56.96,Tucker,T-22-HY-1-WC,N,,,N,,,Y,,,N,,81.37
,#1 Section for ECO 30w/ Clamp,#1 Section for Tucker®-30,Regular,,T-30-CF-1-WC,This is the correct replacement #1 section for your Tucker® 30 pole. Made of hybrid material and comes complete with #1 clamp.,Tucker > Water Fed Pole Parts,Tucker,#1 Section for Tucker®-30 | Water Fed Pole Parts | AZ Cleaning Supplies,This is the correct replacement #1 section for your Tucker® 30 pole. Made of hybrid material and comes complete with #1 clamp. Available at AZ Cleaning...,1-section-for-eco-30w-clamp,,Hidden,Physical,2,#1 Section for Tucker®-30 | Water Fed Pole Parts | AZ Cleaning Supplies,This is the correct replacement #1 section for your Tucker® 30 pole. Made of hybrid material and comes complete with #1 clamp. Available at AZ Cleaning...,N,N,N,N,121.22,,N,Y,N,Y,N,,,84.86,Tucker,T-30-CF-1-WC,N,,,N,,,Y,,,N,,121.22
,#1 Section for ECO 40w/ Clamp,#1 Section for Tucker-40,Regular,,T-40-CF-1-WC,This is the correct replacement #1 section for your Tucker® 40 pole. Made of carbon fiber and comes complete with #1 clamp.,Tucker > Water Fed Pole Parts,Tucker,#1 Section for Tucker-40 | Water Fed Pole Parts | AZ Cleaning Supplies,This is the correct replacement #1 section for your Tucker® 40 pole. Made of carbon fiber and comes complete with #1 clamp. Available at AZ Cleaning Supplies.,1-section-for-eco-40w-clamp,,Hidden,Physical,2,#1 Section for Tucker-40 | Water Fed Pole Parts | AZ Cleaning Supplies,This is the correct replacement #1 section for your Tucker® 40 pole. Made of carbon fiber and comes complete with #1 clamp. Available at AZ Cleaning Supplies.,N,N,N,N,121.22,,N,Y,N,Y,N,,,84.86,Tucker,T-40-CF-1-WC,N,,,N,,,Y,,,N,,121.22
,#1 Section for Juniorw/ clamp,#1 Section for Juniorw/clamp,Regular,,T-15-HY-1-WC,This is the correct replacement #1 section for your Tucker® Junior pole. Made of hybrid material and comes complete with #1 clamp.,Tucker > Water Fed Pole Parts,Tucker,#1 Section for Juniorw/clamp | Water Fed Pole Parts | AZ Cleaning Supplies,This is the correct replacement #1 section for your Tucker® Junior pole. Made of hybrid material and comes complete with #1 clamp. Available at AZ Cleaning...,1-section-for-juniorw-clamp,,Hidden,Physical,,#1 Section for Juniorw/clamp | Water Fed Pole Parts | AZ Cleaning Supplies,This is the correct replacement #1 section for your Tucker® Junior pole. Made of hybrid material and comes complete with #1 clamp. Available at AZ Cleaning...,N,N,N,N,75.37,,N,Y,N,Y,N,,,52.76,Tucker,T-15-HY-1-WC,N,,,N,,,Y,,,N,,75.37
,#1 Section for SIDEKICKw/ Clamp,#1 Section for SIDEKICKw/Clamp,Regular,,T-12-FG-1-WC,This is the correct replacement #1 section for your Tucker® Sidekick pole. Made of yellow fiber glass and comes complete with #1 clamp.,Tucker > Water Fed Pole Parts,Tucker,#1 Section for SIDEKICKw/Clamp | Water Fed Pole Parts | AZ Cleaning Supplies,This is the correct replacement #1 section for your Tucker® Sidekick pole. Made of yellow fiber glass and comes complete with #1 clamp. Available at AZ...,1-section-for-sidekickw-clamp,,Hidden,Physical,,#1 Section for SIDEKICKw/Clamp | Water Fed Pole Parts | AZ Cleaning Supplies,This is the correct replacement #1 section for your Tucker® Sidekick pole. Made of yellow fiber glass and comes complete with #1 clamp. Available at AZ...,N,N,N,N,59.37,,N,Y,N,Y,N,,,41.56,Tucker,T-12-FG-1-WC,N,,,N,,,Y,,,N,,59.37
,#1 Section for SOLAR BOOSTw/ Clamp,#1 Section for SOLAR BOOSTw/Clamp,Regular,,T-27-CF-1-WC,This is the correct replacement #1 section for your Tucker® Solar Boost pole. Made of hybrid material and comes complete with #1 clamp.,Tucker > Water Fed Pole Parts,Tucker,#1 Section for SOLAR BOOSTw/Clamp | AZ Cleaning Supplies,This is the correct replacement #1 section for your Tucker® Solar Boost pole. Made of hybrid material and comes complete with #1 clamp. Available at AZ...,1-section-for-solar-boostw-clamp,,Hidden,Physical,2,#1 Section for SOLAR BOOSTw/Clamp | AZ Cleaning Supplies,This is the correct replacement #1 section for your Tucker® Solar Boost pole. Made of hybrid material and comes complete with #1 clamp. Available at AZ...,N,N,N,N,105.37,,N,Y,N,Y,N,,,73.76,Tucker,T-27-CF-1-WC,N,,,N,,,Y,,,N,,105.37
,#10 CF Pole Extension with Clamp,Tucker® 50 extension,Regular,,T-CF-EXT-WC,"The Tucker® #10 modular extension is used to extend the Tucker® High Mod 50 poles found at the link below. Tucker® High Mod 50 When you add these sections, they are modular and sit one on top of the other. Each section will add 5 feet to the length of the overall pole. These extensions feature our new V2 clamping system. Note : We highly recommend you familiarize yourself with appropriate PPE to be used when working on or around electrical hazards including, but not limited to dielectric boots and gloves. Fore more safety information please see this page HERE",Tucker > Water Fed Pole Parts,Tucker,Tucker® 50 extension | Water Fed Pole Parts | AZ Cleaning Supplies,The Tucker® #10 modular extension is used to extend the Tucker® High Mod 50 poles found at the link below. Tucker® High Mod 50 When you add these sections...,tucker-10-modular-extension,,Hidden,Physical,10,Tucker® 50 extension | Water Fed Pole Parts | AZ Cleaning Supplies,The Tucker® #10 modular extension is used to extend the Tucker® High Mod 50 poles found at the link below. Tucker® High Mod 50 When you add these sections...,N,N,N,N,252.72,,N,Y,N,Y,N,,,176.91,Tucker,T-CF-EXT-WC,N,,,N,,,Y,,,N,,252.72
,#2 Section for 50HMw/ clamp,#2 Section for 50HMw/clamp,Regular,,T-50-HM-2-WC,This is the correct replacement #2 section for your Tucker® 50HM pole. Made of High Modulus material and comes complete with #2 clamp.,Tucker > Water Fed Pole Parts,Tucker,#2 Section for 50HMw/clamp | Water Fed Pole Parts | AZ Cleaning Supplies,This is the correct replacement #2 section for your Tucker® 50HM pole. Made of High Modulus material and comes complete with #2 clamp. Available at AZ...,2-section-for-50hmw-clamp,,Hidden,Physical,2,#2 Section for 50HMw/clamp | Water Fed Pole Parts | AZ Cleaning Supplies,This is the correct replacement #2 section for your Tucker® 50HM pole. Made of High Modulus material and comes complete with #2 clamp. Available at AZ...,N,N,N,N,219.32,,N,Y,N,Y,N,,,153.53,Tucker,T-50-HM-2-WC,N,,,N,,,Y,,,N,,219.32
