issue_type,vendor,source_file,item_name,sku,gtin,category,default_unit_cost,price,details
merged_duplicate,MPWSR,MPWSR Price List May '25.csv,80B BLUE 3.00 GPH SOLID CONE NOZZLE,1366,,MPWSR,12.99,20.00,Merged 2 source rows by exact item-name match. Kept the highest cost option 12.99. Sources: Barrens | Barrens Pricelist 2025.csv | SKU=1366 | Cost=12.71; MPWSR | MPWSR Price List May '25.csv | SKU=1366 | Cost=12.99
merged_duplicate,MPWSR,MPWSR Price List May '25.csv,SUNTEC 12VDC COIL (GREEN),1523,,MPWSR,24.36,30.47,Merged 2 source rows by exact item-name match. Kept the highest cost option 24.36. Sources: Barrens | Barrens Pricelist 2025.csv | SKU=1523 | Cost=22.39; MPWSR | MPWSR Price List May '25.csv | SKU=1523 | Cost=24.36
merged_duplicate,MPWSR,MPWSR Price List May '25.csv,Garden hose washer,24.0095,,MPWSR,0.47,0.80,Merged 2 source rows by exact item-name match. Kept the highest cost option 0.47. Sources: Barrens | Barrens Pricelist 2025.csv | SKU=1737 | Cost=0.17; MPWSR | MPWSR Price List May '25.csv | SKU=24.0095 | Cost=0.47
merged_duplicate,MPWSR,MPWSR Price List May '25.csv,Brass bushing 1/2'' mpt x 1/4''fpt,28106L,,MPWSR,2.28,4.39,Merged 2 source rows by exact item-name match. Kept the highest cost option 2.28. Sources: Barrens | Barrens Pricelist 2025.csv | SKU=2082 | Cost=1.62; MPWSR | MPWSR Price List May '25.csv | SKU=28106L | Cost=2.28
merged_duplicate,MPWSR,MPWSR Price List May '25.csv,Brass hex nipple 3/4 mpt x 1/2 mpt,2115,,MPWSR,4.62,5.68,Merged 2 source rows by exact item-name match. Kept the highest cost option 4.62. Sources: Barrens | Barrens Pricelist 2025.csv | SKU=2115 | Cost=3.36; MPWSR | MPWSR Price List May '25.csv | SKU=2115 | Cost=4.62
merged_duplicate,Barrens,Barrens Pricelist 2025.csv,"SH 1 1/8"" BUSHING",3031,,Barrens,29.01,19.60,Merged 2 source rows by exact item-name match. Kept the highest cost option 29.01. Sources: Barrens | Barrens Pricelist 2025.csv | SKU=3031 | Cost=29.01; MPWSR | MPWSR Price List May '25.csv | SKU=3580 | Cost=15.71
merged_duplicate,MPWSR,MPWSR Price List May '25.csv,48911 66DX SERIES OIL SEAL (NEED 3/PUMP),3081,,MPWSR,8.53,12.20,Merged 2 source rows by exact item-name match. Kept the highest cost option 8.53. Sources: Barrens | Barrens Pricelist 2025.csv | SKU=3081 | Cost=8.11; MPWSR | MPWSR Price List May '25.csv | SKU=3081 | Cost=8.53
merged_duplicate,Barrens,Barrens Pricelist 2025.csv,MUFFLER ASSY GX240-270,5740,,Barrens,42.42,52.50,Merged 2 source rows by exact item-name match. Kept the highest cost option 42.42. Sources: Barrens | Barrens Pricelist 2025.csv | SKU=5740 | Cost=42.42; MPWSR | MPWSR Price List May '25.csv | SKU=42.0102 | Cost=36.75
merged_duplicate,INSECO,2025 Dealer Pricing .xlsx,Black 32 Ounce,635B32,678645003009,INSECO > SEALTHANE Color Packs,35.00,,Merged 2 source rows by exact GTIN match. Kept the highest cost option 35.00. Sources: INSECO | 2025 Dealer Pricing .xlsx | SKU=635B16 | Cost=19.50; INSECO | 2025 Dealer Pricing .xlsx | SKU=635B32 | Cost=35.00
merged_duplicate,Tucker,tucker list 2.docx,Water Fed Brush │ Dual Trim - Boar and Nylon Bristle Hybrid - 4 Pencil Jets,T-12HY-LT,,Tucker > Accessories,105.22,168.06,Merged 2 source rows by same-vendor SKU duplicate. Kept the highest cost option 105.22. Sources: Tucker | tucker list 2.docx | SKU=T-12HY-LT | Cost=90.84; Tucker | tucker list 2.docx | SKU=T-12HY-LT | Cost=105.22
